geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
20440	St6gal1	52.58	51.2153	53.8613	40.9637	44.9993	41.8056	51.058	60.0759
67812	Ubxn4	124.5872	137.662	83.0812	126.0897	138.2318	204.5847	184.1407	176.8163
218914	Wapal	3334.4712	3488.711	3450.2776	3250.6865	3211.118	4036.8638	3486.5164	4158.7783
231044	Gbx1	14.6431	8.1501	4.9556	6.1377	4.935	5.6401	7.7029	6.3114
14531	Gcm1	197147.62	249912.69	142735.05	193408.38	217735.89	222839.58	175801.5	235695.28
69810	Clec4b1	184.3664	91.0758	270.6683	142.6237	385.0104	175.5458	378.048	202.0293
12095	Bglap-rs1	97.8951	69.1659	98.8248	65.7589	92.9131	93.9682	98.2328	108.8436
15135	Hbb-y	9.7795	6.2646	8.0015	6.6139	4.9092	5.6279	8.3745	6.1182
23801	Aloxe3	196.5656	250.3986	173.2868	132.0848	147.315	136.1483	100.377	113.9688
73067	Tmem192	1003.2588	940.7605	987.2244	803.816	1293.1627	1275.0125	1614.2076	1176.7701
50795	Sh3bgr	663.0687	759.5922	723.3741	763.6531	704.4222	1295.1089	537.9379	1065.2958
75909	Tmem49	12321.588	9350.627	11797.922	10995.746	31783.992	27558.045	37244.016	31948.781
70045	2610528A11Rik	143.9334	95.7725	86.9893	70.5325	115.6755	85.5742	116.5907	111.8084
13095	Cyp2c29	20.8843	17.4303	14.1912	11.8029	8.8423	7.7548	7.3457	7.5558
26362	Axl	8236.28	7245.355	9362.694	7158.4443	11659.73	9782.259	13285.563	9857.948
242259	Slc44a5	18.3171	45.2668	70.2306	5.7745	6.5901	5.3529	11.1773	15.0012
74498	Gorasp1	362.2802	382.5623	352.7619	320.0148	211.5413	325.2636	237.6737	305.5471
22019	Tpp2	1445.5332	1280.6727	1440.7947	1593.8708	1468.8143	1712.8722	1692.9858	1800.441
73526	Speer4b	10.9061	52.0383	5.4117	39.0063	5.4716	7.5699	10.0012	19.3779
238384	Slc24a4	1059.3282	1245.0238	1091.0159	915.186	489.9809	1342.1244	805.9554	1023.4789
12265	Ciita	383.9808	244.567	425.4996	319.6966	1750.974	977.3533	1412.6848	1305.0115
20193	S100a1	6086.74	5187.903	5561.791	4782.129	4547.882	6163.625	6124.0884	5980.7163
217214	Nags	14.0202	23.8103	9.7017	6.7605	19.8092	23.7536	20.0863	25.2698
207425	Wdr11	305.0748	311.7932	333.179	230.2664	190.9577	280.1857	253.6481	277.4108
17145	Mageb1	74.0151	69.1362	96.8296	58.9261	56.3025	65.5001	85.0212	76.6744
258308	Olfr510	11.8556	87.7496	4.4626	5.5625	4.6483	5.2059	4.7862	5.7857
80911	Acox3	5821.1123	5443.599	6235.8022	5483.949	5733.479	6380.9897	6550.5903	6817.6543
71769	Bbs10	142.0401	117.5129	101.7745	119.7562	109.7262	114.531	111.2231	117.4628
212679	Mars2	45.3077	50.8691	67.602	47.3745	65.3746	87.4239	93.5501	88.4069
69690	2310057B04Rik	313.1197	294.9642	230.2781	228.3564	163.7722	231.4772	205.1948	186.0918
20848	Stat3	12486.321	12561.55	14651.167	11270.883	17326.541	17145.182	19503.092	18941.648
52430	Echdc2	5103.173	4950.1787	5746.7485	4763.212	2818.9575	3801.1282	3518.4111	3814.6604
19417	Rasgrf1	24.3949	30.7144	33.2433	30.3062	7.3693	16.3049	30.4874	16.3225
12262	C1qc	2727.17	1917.4257	3431.3765	4510.6455	36877.082	16992.959	36503.266	24199.12
238247	Arid4a	1216.3064	1588.245	1360.4203	1181.3804	978.1755	1001.0098	1067.3956	985.8464
100041639	Gm3448	267.3479	316.9577	380.468	254.0888	245.6316	229.8428	258.3489	229.6674
140740	Sec63	1229.0652	1100.373	1150.938	1128.7062	1261.223	1438.5098	1497.8124	1483.542
